Relaxation, Number of culverts
0.1 109   !
I1	I2	CE1	CE2	CS1	CS2	LRG	HAUT1	CLP	LBUS	Z1	Z2	CV	C56	CV5	C5	CT	HAUT2	FRIC	LENGTH	CIRC	D1	D2	A1	A2	AA
44731	68902	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	1	-100	0.025	50	1	0	0	-0.9768	-0.9768	2
44730	68901	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	1	-100	0.025	50	1	0	0	-0.9768	-0.9768	2
44729	68900	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	1	-100	0.025	50	1	0	0	-0.9768	-0.9768	2
44728	68899	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	1	-100	0.025	50	1	0	0	-0.9768	-0.9768	2
44727	68898	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	1	-100	0.025	50	1	0	0	-0.9768	-0.9768	2
44684	68854	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	2	-100	0.025	50	1	0	0	-1.43	-1.43	2
44683	68853	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	2	-100	0.025	50	1	0	0	-1.43	-1.43	2
44681	68851	1	1	1	1	7.2	-100	5	1	1080	1080	0.1 0	1	5	2	-100	0.025	50	1	0	0	-1.43	-1.43	2
44682	68852	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	2	-100	0.025	50	1	0	0	-1.43	-1.43	2
44680	68850	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	2	-100	0.025	50	1	0	0	-1.43	-1.43	2
44632	68801	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	3	-100	0.025	50	1	0	0	4.4134	4.4134	2
44631	68800	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	3	-100	0.025	50	1	0	0	4.4134	4.4134	2
44630	68799	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	3	-100	0.025	50	1	0	0	4.4134	4.4134	2
44629	68798	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	3	-100	0.025	50	1	0	0	4.4134	4.4134	2
44628	68797	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	3	-100	0.025	50	1	0	0	4.4134	4.4134	2
44584	68752	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	4	-100	0.025	50	1	0	0	3.96	3.96	2
44583	68751	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	4	-100	0.025	50	1	0	0	3.96	3.96	2
44582	68750	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	4	-100	0.025	50	1	0	0	3.96	3.96	2
44581	68749	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	4	-100	0.025	50	1	0	0	3.96	3.96	2
44580	68748	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	4	-100	0.025	50	1	0	0	3.96	3.96	2
44521	68687	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	5	-100	0.025	50	1	0	0	3.506	3.506	2
44520	68686	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	5	-100	0.025	50	1	0	0	3.506	3.506	2
44519	68685	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	5	-100	0.025	50	1	0	0	3.506	3.506	2
44518	68684	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	5	-100	0.025	50	1	0	0	3.506	3.506	2
44517	68683	1	1	1	1	7.2	-100	5	1	1080	1080	0.1	0	1	5	5	-100	0.025	50	1	0	0	3.506	3.506	2
44787	68959	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	6	-100	0.025	50	1	0	0	-0.5233	-0.5233	2
44786	68958	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	6	-100	0.025	50	1	0	0	-0.5233	-0.5233	2
44785	68957	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	6	-100	0.025	50	1	0	0	-0.5233	-0.5233	2
44784	68956	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	6	-100	0.025	50	1	0	0	-0.5233	-0.5233	2
44783	68955	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	6	-100	0.025	50	1	0	0	-0.5233	-0.5233	2
44758	68929	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	7	-100	0.025	50	1	0	0	-0.75	-0.75	2
44757	68928	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	7	-100	0.025	50	1	0	0	-0.75	-0.75	2
44756	68927	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	7	-100	0.025	50	1	0	0	-0.75	-0.75	2
44755	68926	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	7	-100	0.025	50	1	0	0	-0.75	-0.75	2
44754	68925	1	1	1	1	13.5	-100	6	1	572	572	0	0	0	5	7	-100	0.025	50	1	0	0	-0.75	-0.75	2
